FEC_VALOR,COD_INVERSION,COD_EMPRESA,VALOR,IND_AUTORIZADO
06/02/2017,1,2,22.3826423,S
06/02/2017,2,2,29.5694788,S
06/02/2017,3,2,34.2738505,S
07/02/2017,0,2,10.3837024,S
07/02/2017,3,2,34.4367047,S
07/02/2017,1,2,22.4205112,S
07/02/2017,2,2,29.6546876,S
08/02/2017,3,2,34.1234567,S
08/02/2017,2,2,29.1234567,S
08/02/2017,1,2,22.1234567,S
08/02/2017,0,2,10.1234567,S
09/02/2017,0,2,10.3859695,S
09/02/2017,3,2,34.4134345,S
09/02/2017,2,2,29.5958705,S
10/02/2017,3,2,34.3849739,S
09/02/2017,1,2,22.3525344,S
10/02/2017,2,2,29.579407,S
10/02/2017,1,2,22.3454042,S
10/02/2017,0,2,10.3871836,S
11/02/2017,3,2,34.3287961,S
11/02/2017,1,2,22.3006539,S
11/02/2017,0,2,10.3873199,S
11/02/2017,2,2,29.5407898,S
12/02/2017,1,2,22.3006539,S
12/02/2017,0,2,10.3873199,S
12/02/2017,3,2,34.3287961,S
12/02/2017,2,2,29.5407898,S
13/02/2017,0,2,10.3873199,S
13/02/2017,1,2,22.3006539,S
13/02/2017,2,2,29.5407898,S
13/02/2017,3,2,34.3287961,S
14/02/2017,1,2,22.3270265,S
14/02/2017,2,2,29.6278075,S
14/02/2017,3,2,34.4927682,S
14/02/2017,0,2,10.3906051,S
15/02/2017,1,2,22.3411714,S
15/02/2017,3,2,34.5720361,S
15/02/2017,0,2,10.3915317,S
15/02/2017,2,2,29.6635788,S
16/02/2017,2,2,29.6456473,S
16/02/2017,1,2,22.3470154,S
16/02/2017,3,2,34.534156,S
16/02/2017,0,2,10.3936672,S
17/02/2017,1,2,22.3328095,S
17/02/2017,2,2,29.6159723,S
17/02/2017,3,2,34.5108174,S
17/02/2017,0,2,10.3950069,S
18/02/2017,3,2,34.5838605,S
18/02/2017,0,2,10.3961952,S
18/02/2017,1,2,22.3606697,S
18/02/2017,2,2,29.6599592,S
19/02/2017,0,2,10.3961952,S
19/02/2017,1,2,22.3606697,S
19/02/2017,2,2,29.6599592,S
19/02/2017,3,2,34.5838605,S
20/02/2017,0,2,10.3961952,S
20/02/2017,1,2,22.3606697,S
20/02/2017,2,2,29.6599592,S
20/02/2017,3,2,34.5838605,S
21/02/2017,0,2,10.4006898,S
21/02/2017,3,2,34.5832969,S
21/02/2017,2,2,29.6366379,S
21/02/2017,1,2,22.3472948,S
22/02/2017,1,2,22.3333312,S
22/02/2017,3,2,34.6105973,S
22/02/2017,2,2,29.6422467,S
22/02/2017,0,2,10.4018203,S
23/02/2017,3,2,34.6243125,S
23/02/2017,2,2,29.6346136,S
23/02/2017,1,2,22.2799878,S
23/02/2017,0,2,10.4027426,S
24/02/2017,1,2,22.2959622,S
24/02/2017,2,2,29.6446715,S
24/02/2017,3,2,34.5604809,S
24/02/2017,0,2,10.4039304,S
25/02/2017,0,2,10.4058611,S
25/02/2017,1,2,22.2975468,S
25/02/2017,3,2,34.2673396,S
25/02/2017,2,2,29.6339467,S
26/02/2017,1,2,22.2975468,S
26/02/2017,0,2,10.4058611,S
26/02/2017,3,2,34.2673396,S
26/02/2017,2,2,29.6339467,S
27/02/2017,0,2,10.4058611,S
27/02/2017,1,2,22.2975468,S
27/02/2017,3,2,34.2673396,S
27/02/2017,2,2,29.6339467,S
28/02/2017,0,2,10.4093185,S
01/03/2017,0,2,10.4105777,S
28/02/2017,1,2,22.2861516,S
28/02/2017,2,2,29.6120325,S
28/02/2017,3,2,34.1222574,S
01/03/2017,1,2,22.3204701,S
01/03/2017,2,2,29.6603895,S
01/03/2017,3,2,34.229925,S
02/03/2017,1,2,22.3368372,S
02/03/2017,0,2,10.411715,S
02/03/2017,3,2,34.5208993,S
03/03/2017,0,2,10.4126575,S
02/03/2017,2,2,29.7809543,S
03/03/2017,1,2,22.3690201,S
03/03/2017,3,2,34.6301679,S
03/03/2017,2,2,29.8294839,S
04/03/2017,0,2,10.4141119,S
04/03/2017,1,2,22.3777291,S
04/03/2017,3,2,34.5531414,S
04/03/2017,2,2,29.8389484,S
05/03/2017,0,2,10.4141119,S
05/03/2017,1,2,22.3777291,S
05/03/2017,2,2,29.8389484,S
05/03/2017,3,2,34.5531414,S
06/03/2017,0,2,10.4141119,S
06/03/2017,1,2,22.3777291,S
06/03/2017,2,2,29.8389484,S
06/03/2017,3,2,34.5531414,S
07/03/2017,0,2,10.4174322,S
07/03/2017,1,2,22.3993436,S
07/03/2017,2,2,29.8355132,S
08/03/2017,0,2,10.4184061,S
07/03/2017,3,2,34.44735,S
08/03/2017,1,2,22.3778369,S
08/03/2017,2,2,29.7564781,S
08/03/2017,3,2,34.2555202,S
09/03/2017,3,2,34.3515554,S
09/03/2017,0,2,10.4193462,S
09/03/2017,1,2,22.399496,S
09/03/2017,2,2,29.8120653,S
10/03/2017,0,2,10.4208543,S
10/03/2017,1,2,22.3435584,S
10/03/2017,3,2,34.2491809,S
10/03/2017,2,2,29.7468341,S
11/03/2017,0,2,10.4224602,S
11/03/2017,1,2,22.3671061,S
11/03/2017,3,2,34.3010495,S
11/03/2017,2,2,29.7960319,S
12/03/2017,3,2,34.3010495,S
12/03/2017,0,2,10.4224602,S
12/03/2017,1,2,22.3671061,S
12/03/2017,2,2,29.7960319,S
13/03/2017,3,2,34.3010495,S
13/03/2017,2,2,29.7960319,S
13/03/2017,1,2,22.3671061,S
13/03/2017,0,2,10.4224602,S
14/03/2017,3,2,34.2330578,S
14/03/2017,0,2,10.4259948,S
14/03/2017,1,2,22.3662382,S
14/03/2017,2,2,29.7890878,S
15/03/2017,3,2,34.0688262,S
15/03/2017,1,2,22.3475412,S
15/03/2017,0,2,10.427984,S
15/03/2017,2,2,29.7251964,S
16/03/2017,1,2,22.3577431,S
16/03/2017,3,2,34.1278827,S
16/03/2017,0,2,10.4296903,S
16/03/2017,2,2,29.762625,S
17/03/2017,1,2,22.4279989,S
17/03/2017,3,2,34.2877729,S
17/03/2017,2,2,29.8650216,S
17/03/2017,0,2,10.4314453,S
18/03/2017,3,2,34.3210722,S
18/03/2017,0,2,10.4325847,S
18/03/2017,1,2,22.475597,S
18/03/2017,2,2,29.9001462,S
19/03/2017,0,2,10.4325847,S
19/03/2017,1,2,22.475597,S
19/03/2017,2,2,29.9001462,S
19/03/2017,3,2,34.3210722,S
20/03/2017,0,2,10.4325847,S
20/03/2017,1,2,22.475597,S
20/03/2017,2,2,29.9001462,S
20/03/2017,3,2,34.3210722,S
21/03/2017,0,2,10.4355282,S
21/03/2017,3,2,34.34485,S
21/03/2017,1,2,22.4600471,S
21/03/2017,2,2,29.881249,S
22/03/2017,1,2,22.5098418,S
22/03/2017,3,2,34.2376872,S
22/03/2017,2,2,29.8731655,S
22/03/2017,0,2,10.4367488,S
23/03/2017,0,2,10.4379773,S
23/03/2017,3,2,34.0201851,S
23/03/2017,1,2,22.4847983,S
23/03/2017,2,2,29.7711396,S
24/03/2017,0,2,10.4387189,S
24/03/2017,1,2,22.5092629,S
24/03/2017,2,2,29.8189748,S
24/03/2017,3,2,34.0966292,S
25/03/2017,0,2,10.4406412,S
25/03/2017,3,2,34.1444165,S
25/03/2017,1,2,22.53432,S
25/03/2017,2,2,29.8510276,S
26/03/2017,0,2,10.4406412,S
26/03/2017,1,2,22.53432,S
26/03/2017,2,2,29.8510276,S
26/03/2017,3,2,34.1444165,S
27/03/2017,0,2,10.4406412,S
27/03/2017,1,2,22.53432,S
27/03/2017,2,2,29.8510276,S
